tissue,n_normal,n_tumor,mean_normal,sd_normal,mean_tumor,sd_tumor,median_normal,median_tumor,diff_log2,p,zeros_removed_normal,zeros_removed_tumor,missing_normal,FDR,direction
Brain,1136,662,8.535916373239436,1.1689020711895586,9.077608761329305,0.8895564480316986,8.724,9.0425,0.541692388089869,5.435983282886328e-16,5,0,11,9.78476990919539e-16,higher in tumor
Breast,179,1092,11.397307262569834,0.6144588561964053,10.524916666666668,0.7454299661799699,11.36,10.59,-0.8723905959031661,4.062651782015395e-43,0,0,0,1.2187955346046185e-42,lower in tumor
Colon,304,288,10.601299342105264,0.5999498707328014,10.816340277777778,0.8720804446414648,10.605,10.85,0.2150409356725138,7.736383014283269e-05,4,0,0,0.00011604574521424904,higher in tumor
Kidney,27,884,11.077333333333334,0.613118133930033,10.529993212669684,1.359664370499897,11.07,10.91,-0.5473401206636499,0.13193776520387773,1,0,0,0.13193776520387773,ns
Liver,110,369,9.28637272727273,0.7435047165079439,8.914650406504064,1.0773730782486115,9.2305,8.891,-0.37172232076866507,0.00013972503851066348,0,0,0,0.00017964647808513877,lower in tumor
Lung,287,1011,12.382578397212544,0.42899986138709806,11.387907022749754,0.9686588315504747,12.41,11.45,-0.99467137446279,3.466456553982154e-64,1,0,0,3.119810898583939e-63,lower in tumor
Ovary,88,418,11.565681818181817,0.45420587629006554,11.288746411483253,1.166661449580268,11.535,11.335,-0.27693540669856453,0.02477772091892497,0,1,0,0.02787493603379059,lower in tumor
Pancreas,165,178,9.307727272727274,0.5979150498805111,11.562882022471909,0.6947973997365219,9.254,11.65,2.2551547497446354,6.828259045216242e-53,2,0,0,3.0727165703473087e-52,higher in tumor
Prostate,100,495,11.452499999999997,0.5760828626564626,9.95330909090909,0.9207525281174073,11.4,9.991,-1.4991909090909061,8.02860799627483e-41,0,0,0,1.8064367991618368e-40,lower in tumor
