group,n,mean,sd,median,q1,q3,log2FC_tumor_vs_normal,MannWhitney_p,MannWhitney_p_excl_zero
Normal ovary (GTEx),88,11.565681818181817,0.45420587629006554,11.535,11.2775,11.78,-0.30387752223909636,0.022895108992541123,0.02477772091892497
Ovarian cancer (TCGA-OV),419,11.26180429594272,1.2891801388897584,11.33,10.61,12.07,-0.30387752223909636,0.022895108992541123,0.02477772091892497
