dataset,n,pearson_r,pearson_p,r_squared,spearman_rho,spearman_p,n_beta_gt_0_5,n_beta_gt_0_3
HM27 only,297,-0.6502629710372325,4.391138004407568e-37,0.4228419315021687,-0.6019749988618652,1.1429942670474377e-30,32,63
HM27+HM450 merge,299,-0.6436056194952556,2.3026241462413134e-36,0.41422819344587175,-0.6017987509352037,7.633832943910968e-31,38,84
